,title,artist,date,description,text,tags,group,event,category,url,image,Duración
10,Los Estados Unidos de África,No definido,31 may - 7 jun 2012,Mbuyi Kabunda analiza el empobrecimiento del continente africano tras la crisis europea y frente el hambre de recursos de China.,,[''],RADIO - Archivo de entrevistas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/los-estados-unidos-africa,https://www.lacasaencendida.es/storage/11103/responsive-images/1951-609f-imaginando_alternativas_africa_socialismo_th_0___detail_1600_900.jpg,
11,"""El Señor""",Juan Cavestany,31 may - 7 jun 2012,"Una película que desafía los métodos convencionales de distribución. Hecha a mano y con lo puesto, se puede descargar en Internet por un precio simbólico.",,[''],RADIO - Archivo de entrevistas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/el-senor-juan-cavestany,https://www.lacasaencendida.es/storage/11104/responsive-images/1952-609f-cine_contemporaneo_caballeros_th_0___detail_1600_900.jpg,
12,IV Premio de Poesía Joven RNE. Entrega del premio.,No definido,31 may 2012,"Por primera vez, se premia una obra escrita a dos manos. Andrés Catalán y Ben Clark son los ganadores del IV Premio de Poesía Joven RNE por su poemario Mantener la cadena de frío.
Duración: 1 hora","La cuarta edición del concurso ha sido una de las más multitudinarias. Finalmente, el jurado constituido por el director de Radio Nacional, Ignacio Elguero, Javier Lostalé, Luis Alberto de Cuenca, Amalia Bautista y Esperanza López Parada ha decidido premiar a los poetas Andrés Catalán y Ben Clark.
El premio consiste en la publicación del texto ganador. La editorial Pre-Textos será la encargada de convertir en libro Mantener la cadena de frío. El Premio Poesía Joven de RNE, que cuenta con la colaboración de la Obra Social Caja Madrid, está destinado a autores menores de treinta años, apostando por los jóvenes creadores y reafirmando su compromiso como servicio público.
Entrada libre hasta completar a foro. Es necesaria invitación previa.",[''],Not in a group,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/iv-premio-poesia-joven-rne-entrega-del-premio,https://www.lacasaencendida.es/storage/11110/responsive-images/1959-609f-premio_poesia_joven_rne_2012_th___detail_1600_900.jpg,1 hora
13,"Presentación del libro ""Humor cristiano""",Alberto González Vázquez,31 may 2012,"Alberto González Vázquez es conocido por sus ácidas y polémicas animaciones en flash que realiza desde hace más de 10 años y que publica en su web, queridoantonio.com. El libro Humor cristiano recopila su obra gráfica.

Con la presencia de Alberto Gónzalez, Borja Cobeaga, Manuel Bartual y Andrés Oliva, que conducirá el acto.
Duración: 2 horas","El autor
Alberto González Vázquez es conocido por sus ácidas y polémicas animaciones en flash que realiza y publica en su web queridoantonio.com desde 1999. Tras colaborar con programas como Made in China y Agitación +IVA, hace 8 años se incorporó al equipo de El Intermedio, donde realiza los famosos videomontajes satíricos que preceden a los bloques publicitarios. Virtuoso de la narración más sintética y directa, excelente dialoguista, matemático del montaje, este artista sigue la tradición del humor más negro español en combinación con una sofisticada mala uva difíciles de asimilar.
La obra
Humor cristiano (Editorial ¡Caramba!, Madrid, 2012, 128 páginas,18 €) es una recopilación de los chistes e historietas que Alberto González Vázquez ha publicado desde 2004 en su blog. Además, en él incorpora abundante material nuevo tanto gráfico como textual.
Sirva de introducción a la presentación el texto que aparece en la contraportada: “Conocí al autor de este libro cuando era sólo un niño con la cara tiznada de hollín que gritaba '¡extra, extra!' junto a la carpa del Circo Jamaica”, cuenta Salvador Salmerón Santos al comienzo de un prólogo en el que desvela muchas de las claves de esta obra, después de haber tratado a su responsable a lo largo de más de tres décadas.
“En estas páginas el autor vierte su vasto conocimiento del mundo (en particular de la provincia de Guadalajara) y disecciona la condición humana con el trazo firme del que lo ha visto todo, lo ha probado todo y no ha entendido casi nada. (…) Este libro es el desafío titánico del hombre que se lanza a cruzar a nado un océano y pierde las fuerzas donde todavía puede hacer pie. Pero sobrevive. Y ése es su gran triunfo”.",[''],Not in a group,No details,['CINE'],https://www.lacasaencendida.es/cine/presentacion-del-libro-humor-cristiano-alberto-gonzalez-vazquez,https://www.lacasaencendida.es/storage/11359/responsive-images/2294-609f-presentacion_libro_humor_cristiano_th___detail_1600_900.jpg,2 horas
14,"Presentación del libro ""Lo solo del animal""",Olvido García Valdés,31 may 2012,"La de Olvido García Valdés es ya una “de las escrituras más fervientemente medulares de la poesía española contemporánea”. (Eduardo Milán)
Duración: 1 hora","Seis años después de Y todos estábamos vivos, que mereció el Premio Nacional de Poesía, los poemas de Lo solo del animal vuelven a mostrar una voz singular y reconocible, que sin embargo rehúsa fijarse y afronta cada vez un riesgo nuevo, notable siempre en la altura de los resultados. Lo solo del animal propone una meditación sobre lo animal de la soledad, un lugar no verbal, de existencia, en que coincidirían todos los seres, pero que aquí se abre al conocimiento y se afila en la conciencia. En el curso de lo cotidiano, contra el fondo de la enfermedad y la muerte, entre los trazos de una lúcida desesperación, crece una empatía o compasión con lo que existe, una dulzura desplazada hacia el mundo, hacia el ajeno fluir de la vida, “rara y querida como una enfermedad”, que encarnan mejor que nadie los pequeños animalillos, tan frágiles y resistentes.
Si escribir puede ser en ocasiones como pintar, las composiciones de este libro son cuadros sonoros hechos de materia viva: la naturaleza, las plantas, los animales, el ser humano; se diría que una especial sensibilidad de la escritura va reconociendo las palabras por su son, como si las palpara musicalmente. El poema cuida del registro físico, corporal de las sensaciones, que funcionan como órganos del sentimiento y la emoción, en continuidad con un insistente pensar o con la pregunta de peso ético. La realidad, al mismo tiempo que se crea, también se desarticula y fragmenta; sin embargo, el signo fragmentario de Lo solo del animal no oculta la impresión de estar leyendo un único poema, tejido en los variados hilos que lo cruzan, en sus estratos permeables, en sus cambios de ritmo como figuras de la atención. Así, el trabajo de la forma que distingue a la poeta no produce “una” forma, sino que es cada vez “la” forma –precisa, extraña, libre– de que cada cosa llegue a decirse, a ofrecerse, como es.",[''],Not in a group,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/presentacion-del-libro-lo-solo-del-animal-olvido-garcia-valdes,https://www.lacasaencendida.es/storage/11737/responsive-images/2736-609f-olvido_garcia_valdes_th___detail_1600_900.jpg,1 hora
15,"Sesión ""¿Quién espía los juegos de los niños? Manual post-situacionista para antes del Apocalipsis""",No definido,30 may - 5 jun 2012,"El cine como gesto libre, provocador y gamberro de dos heterodoxos únicos.","Cuando, tras fundar junto a Thomas Vinterberg el movimiento Dogma’98, Lars Von Trier proyectó en el Palais de Cannes su obra manifiesto Los idiotas, su gesto –a la vez, estético, político y moral– no estaba lejos de una gamberrada infantil –lo suyo equivalía a “grafitear” obscenidades en los muros de la gran catedral del cine– o del propio situacionismo demente que ejercitaban sus propios personajes en una Dinamarca entendida como emblema de una Europa paralizada. Provocadora, libre y, sobre todo, inspiradora, Los idiotas acababa hablando del reverso oscuro de ese activismo lúdico. Una década más tarde, otro heterodoxo, Harmony Korine se atrevía a mostrar la pesadilla terminal de unos idiotas que hubiesen llegado a viejos para soltar sus risas crispadas en el umbral del Apocalipsis.
Programa 1 - Mi30.Mayo y Ma05.Junio, 18.00 h
Los idiotas, de Lars Von Trier. Dinamarca, 1998. 117 min. VOSE
Un grupo de jóvenes comparte un mismo interés: la idiotez. Con la casa de campo del tío Soffer como base, pasan su tiempo libre explorando los ocultos y poco apreciados valores de la idiotez. Este es el modo que han elegido para rebelarse contra los valores establecidos por la sociedad burguesa. Karen, una mujer solitaria y reservada marcada por una reciente tragedia familiar, se une al grupo después de participar involuntariamente en una de sus actuaciones.",[''],"Ciclo ""Luces y sombras de Nunca Jamás""",No details,['CINE'],https://www.lacasaencendida.es/cine/sesion-quien-espia-los-juegos-los-ninos-manual-post-situacionista-para-antes-del-apocalipsis,https://www.lacasaencendida.es/storage/11196/responsive-images/2097-609f-luces_sombras_nunca_jamas_idiotas_th___detail_1600_900.jpg,
16,"Sesión ""Desde el jardín de la (dolorosa) infancia eterna: recordando a Hal Ashby""",No definido,29 may 2012,"Eclipsado por otros compañeros de generación como Martin Scorsese y Francis Ford Coppola, Hal Ashby sigue siendo el gran nombre a reivindicar del Nuevo Hollywood.
Duración: 2 horas","En Harold y Maude, una película sin cuya existencia no podría entenderse la estética ensimismada de Wes Anderson, el cineasta proponía una extraña historia de amor entre una octogenaria, empeñada en vivir la vida como un inagotable terreno de juegos, y un niño pre-gótico obsesionado con la muerte.
Bajo la inspiración literaria de Desde el jardín, de Jerzy Kosinski, Ashby le proporcionó a Peter Sellers en Bienvenido, Mr. Chance su gran papel testamentario: Chance, casi una versión otoñal del Harry Langdon de Sus primeros pantalones, es celebrado como enigmático maestro zen entre los círculos del poder de Washington, incapaces de contemplar el conjunto vacío existencial que se oculta tras su mirada.
Programa 1 - Ma29.Mayo y Mi06.Junio, 18.00 h
Harold y Maude, de Hal Ashby. EE. UU., 1971. 91 min. VOSE + 13 años
Comedia de culto que relata la historia de Harold, un joven depresivo que pasa su tiempo libre asistiendo a funerales y fingiendo intentos de suicidio delante de su madre. Sus extrañas costumbres le llevarán a conocer a Maude, una fascinante mujer de la tercera edad, con la que entabla una increíble relación amorosa.
Programa 2 - Ma29.Mayo y Mi06.Junio, 20.00 h
Bienvenido, Mr. Chance, de Hal Ashby. EE. UU., 1979. 130 min. VOSE
Chance es un hombre peculiar de 60 años que ha pasado la mayor parte de su vida aislado, ocupándose del jardín de un hombre adinerado y viendo la televisión. Cuando el dueño de la casa muere y Chance es despedido, no está preparado para hacer frente al mundo exterior. Sin dinero y sin documentación se lanza a caminar sin rumbo por las calles de la ciudad donde encuentra personajes que le obligarán a enfrentarse con una realidad desconocida para él, y ante los que Chance dará la sensación de ser un sólido, próspero e inteligente hombre capacitado para realizar grandes negocios. Esta falsa imagen, que los que le conocen reciben de él, determinará su sorprendente destino.",[''],"Ciclo ""Luces y sombras de Nunca Jamás""",No details,['CINE'],https://www.lacasaencendida.es/cine/sesion-desde-el-jardin-la-dolorosa-infancia-eterna-recordando-hal-ashby,https://www.lacasaencendida.es/storage/11327/responsive-images/2240-609f-luces_sombras_nunca_jamas_jardin_infancia_th___detail_1600_900.jpg,2 horas
17,"Sesión ""África: del socialismo al neoliberalismo. Las alternativas de los Estados Unidos de África y la Cooperación Sur-Sur""",No definido,28 may 2012,"En este ciclo de conferencias, contaremos con la intervención de varios ""inventores"" de alternativas para que ofrezcan vías de esperanza y den testimonio de la eficacia de sus iniciativas.
El lunes, 28 de mayo, nos visitará Mbuyi Kabunda, director del Observatorio sobre la realidad social del África Subsahariana (FCA-UAM) y profesor en el Instituto Internacional de Derechos Humanos de Estrasburgo.
Duración: 1 hora 30 minutos","En relación con la época de la descolonización, África ha pasado de representar el 4% de la economía mundial, en 1960 a representar hoy el 1,8%. Parecen haber fracasado las experiencias del socialismo, del liberalismo y del neoliberalismo. De ahí la apuesta por los Estados Unidos de África, o la integración regional maximalista y endógena. El objetivo es reducir la dependencia del continente y fortalecer la autosuficiencia colectiva.
Esta conferencia se enmarca en el Ciclo “Imaginando Alternativas”, cuyo marco es la reflexión en torno a como con la agravación de las crisis (financiera, social, política, cultural, ecológica), muchos ciudadanos tienen la impresión de vivir en una situación aparentemente bloqueada, sin perspectivas, ni aperturas, en un callejón sin salida.
Sin embargo, en muchos dominios de la vida social, unos soñadores de nuevo tipo, gracias a esfuerzos de imaginación y de creatividad, están proponiendo soluciones de recambio a los impases actuales. El número de nuevas propuestas de “ingeniería social” es enorme, y su éxito está transformando muchos aspectos de nuestras vidas.
Coordina: Le Monde diplomatique en español y Fundación Mondiplo.",[''],"Ciclo de conferencias ""Imaginando alternativas""",No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/sesion-africa-del-socialismo-al-neoliberalismo-las-alternativas-los-estados-unidos-africa-y-la-cooperacion-sur-sur,https://www.lacasaencendida.es/storage/11113/responsive-images/1963-609f-imaginando_alternativas_africa_socialismo_th_1___detail_1600_900.jpg,1 hora 30 minutos
18,Concierto de Hooray for Earth,No definido,27 may 2012,"Bajo las etiquetas de Synth rock o electrónica experimental, nos llega un grupo que sabe encontrar la épica en grandes canciones creadas a base de sintetizadores y efectos de producción, que pintan sonidos de pop psicodélico minimalista y emocionantes viajes de sueños esquizofrénicos.
Duración: 1 hora","Bajo las etiquetas de Synth rock o electrónica experimental, nos llega un grupo que sabe encontrar la épica en grandes canciones creadas a base de sintetizadores y efectos de producción, que pintan sonidos de pop psicodélico minimalista y emocionantes viajes de sueños esquizofrénicos.
True Loves (2011) es el último trabajo de Hooray for Earth, el grupo de Nueva York que lidera el multi-instrumentista Noel Heroux, que relanzara su primer trabajo también en Europa ese año. “Es un disco amable. Los extremos me afectan más emocionalmente. Realmente me he centrado en lo positivo, en las buenas sensaciones que me da la música, que pueden venir también de sonidos más oscuros”, dice Noel Heroux. Es también la continuación del aclamado EP de debut, Momo, y captura la ansiedad personal y universal de los tiempos actuales.
Heroux ha compuesto, grabado y producido el 90% del disco nuevo con el bajista Christopher Principe, el guitarrista-teclista Gary Benacquista y el batería Joseph Ciampini.",[''],Soundays,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/concierto-hooray-earth,https://www.lacasaencendida.es/storage/11335/responsive-images/2250-609f-soundays_hooray_for_earth_th___detail_1600_900.jpg,1 hora
19,Rubber,"Quentin Dupieux. Francia, 2010. 82 min. VOSE + 13 años",26 may - 27 may 2012,Un neumático asesino con poderes psíquicos siembra el terror y la confusión en el desierto de Arizona.,"El director
Quentin Dupieux (1974) comenzó a filmar a los 12 años y, poco después, a componer y producir música electrónica bajo el exitoso pseudónimo de Mr. Oizo. Debutó en el cine en 2002 con el mediometraje Nonfilm. En 2006, filmó su segundo largo, Steak, para el que compuso la música junto a Sébastien Tellier y SebastiAn.
La película
Rubber, , de Quentin Dupieux. Francia, 2010. 82 min. VOSE + 13 años
Rubber cuenta la historia de una rueda que después de encontrarse con una pila de compañeras quemadas decidirá vengarse de los humanos haciendo explotar sus cabezas a través de sus poderes telequinéticos. Auténtica sensación desde su estreno en la Semana de la Crítica del Festival de Cannes de 2010, Rubber rompe los cánones del género y da la vuelta a los mecanismos propios de la ficción a través de un discurso metalingüístico sin precedente.",[''],Cine contemporáneo: mayo - junio,No details,['CINE'],https://www.lacasaencendida.es/cine/rubber-quentin-dupieux-francia-2010-82-min-vose-13-anos,https://www.lacasaencendida.es/storage/11329/responsive-images/2243-609f-cine_contemporaneo_mayo_2012_th___detail_1600_900.jpg,
20,"""Pía-Pía, Piano"" (mayo 2012)",No definido,26 may - 27 may 2012,"Con un repertorio musical específico para la franja de edad hasta los 18 meses, las pianistas Patricia Arbolí y Mónica Sánchez interpretarán piezas de grandes compositores de la historia a cuatro manos en un piano de cola en el Patio de La Casa Encendida, sobre una gran alfombra verde en la que niños y padres podrán moverse con libertad.","“Pía-Pía, Piano” nace con la intención de propiciar a los pequeños un primer encuentro con la música en directo que despierte su interés, su emoción y su capacidad de escucha. Con un repertorio musical específico para la franja de edad hasta los 18 meses, las pianistas Patricia Arbolí y Mónica Sánchez interpretarán piezas de grandes compositores de la historia a cuatro manos en un piano de cola en el Patio de La Casa Encendida, sobre una gran alfombra verde en la que niños y padres podrán moverse con libertad.",[''],En Familia (mayo y junio 2012),No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/pia-pia-piano-mayo-2012,https://www.lacasaencendida.es/storage/11079/responsive-images/1923-609f-en_familia_pia_pia_piano_mayo_2012_th___detail_1600_900.jpg,
21,II Jornadas de arte español contemporáneo,No definido,24 may - 31 may 2012,"Tania Pardo, comisaria y subdirectora de las Jornadas, comparte sus reflexiones sobre la creación artística en nuestro país en los últimos 20 años.",,[''],RADIO - Archivo de entrevistas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/ii-jornadas-arte-espanol-contemporaneo,https://www.lacasaencendida.es/storage/11107/responsive-images/1955-609f-2_jornadas_arte_espanol_contemporaneo_th_1___detail_1600_900.jpg,
