,title,artist,date,description,text,tags,group,Dirigido a,Ubicación,Duración,Precio,event,category,url,image
35,Presentación Espacio Creadoras,No definido,7 may 2023,"Durante todo el fin de semana cinco personas estarán diseñando, creando y desarrollando los diferentes proyectos que tendrán el upcycling como hilo conductor.","Como venimos haciendo desde 2016, vuelve el Maratón de Reciclaje Textil Creativo para unirse al movimiento Fashion Revolution y defender la moda como elemento de transformación social. Las creadoras trabajarán en sus propuestas durante el fin de semana, en el Patio de La Casa Encendida, en un espacio que fomenta la interacción con el público durante el proceso.
Los cinco proyectos seleccionados esta vez para el Espacio Creadoras estarán realizados por cinco personas que ya han participado en ediciones anteriores. En esta edición, las propuestas serán más amplias, no limitándose necesariamente a la creación de una prenda.
Este año nos acompañan:
Laura Casanova
Laura Casanova participó en la primera y segunda edición como creadora y en la cuarta edición ofreció un taller de reutilización con camisas. Siempre ha destacado por su trabajo minucioso basado en líneas limpias.
Lara Padilla
Tuvimos la suerte de compartir el Maratón Online de 2020 con Lara Padilla o Sra. D., una artista multidisciplinar que vive y trabaja entre Madrid, Miami y Nueva York. En su propuesta incluye la pintura a mano como elemento de expresión que da una textura única a cada una de sus piezas.",['#Diseño #Reciclaje #Sostenibilidad'],VII Maratón de reciclaje textil creativo,Público general,Patio,1 hora,,Acceso libre.,"['ENCUENTROS', 'PROYECTO']",https://www.lacasaencendida.es/encuentros/presentacion-espacio-creadoras,https://www.lacasaencendida.es/storage/12746/responsive-images/presentacion-espacio-creadoras___detail_1600_1067.jpg
36,Estación de reparación textil,No definido,7 may 2023,Un espacio donde se podrán realizar pequeños arreglos y reparaciones a nuestras prendas y defender el derecho a la reparación.,"A través de este espacio, conectado con el movimiento Right to Repair, impulsamos la circularidad y el consumo sostenible de ropa, en el que el cuidado de nuestras prendas es un hábito fundamental. Desde el movimiento Europeo Right to Repair se defiende que los productos deben ser más duraderos y esto requiere que estén diseñados pensando en su reparación y también que se facilite el acceso a todo tipo de reparaciones.
La estación de reparación está diseñada para facilitar herramientas, recursos y conocimientos básicos para poder arreglar nuestras prendas.
No es un taller o una clase de costura donde una sola persona enseña y las demás aprenden si no que está enfocada para aprender de manera colaborativa. Contaremos con personas que facilitarán el espacio y las reparaciones. Pero tanto si las personas saben coser como si no, pueden acercarse para realizar arreglos o ayudar a otras personas a hacerlos.
Los tipos de reparaciones en prendas que podrán realizarse son más o menos sencillos y para todos los niveles: botones, bajos, parcheados, zurcidos, cremalleras y bolsillos. Para facilitar estos arreglos dispondremos de todos materiales, recursos y herramientas necesarias.
El funcionamiento de la estación de reparación es dinámica. La participación tiene lugar por franjas de máximo 90 minutos en caso de que haya otras personas esperando.",['#Diseño #Reciclaje #Sostenibilidad'],VII Maratón de reciclaje textil creativo,Público general,Patio,6 horas,,"Es espacio está dinamizado por Costura Remake. 
Asistencia libre hasta completar aforo.",['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/estacion-de-reparacion-textil,https://www.lacasaencendida.es/storage/12747/responsive-images/estacion-de-reparacion-textil___detail_1600_1067.jpg
37,Taller de joyas sostenibles a partir de residuo textil,No definido,6 may 2023,"Proponemos este taller de joyas sostenibles, elaboradas a partir de desechos textiles de MENOStrash, donde podrás aprender y crear tus propias joyas.","En este taller con MENOStrash queremos brindarte una experiencia completa en términos de aprendizaje y creación. A continuación, te presentamos lo que podrás disfrutar:
Comenzaremos con una charla de 30 minutos en la que te contaremos la historia que hay detrás del proyecto, cómo se creó el material y su impacto positivo en el medio ambiente. Te mostraremos el proceso de triturado de los textiles y te explicaremos la composición de los mismos. Elegiremos los moldes justos para que puedas crear tus propios pendientes o colgantes con el material de MENOStrash. Te entregaremos el material listo para que puedas dar rienda suelta a tu creatividad y moldearlo a tu gusto. Además, si tienes alguna cadena o collar que te gustaría incorporar en tu diseño, tráelo contigo y te ayudaremos a combinarlo con el material de MENOStrash. Una vez que hayas terminado tu creación, te daremos las indicaciones necesarias para que puedas secarlo y lucirlo con orgullo.
Se ruega puntualidad. Una vez comenzado el taller, si la persona inscrita no ha llegado se pondrá la plaza a disposición del público interesado. Agradeceremos no obstante, que se comuniquen las posibles ausencias con antelación.",['#Diseño #Reciclaje #Sostenibilidad'],VII Maratón de reciclaje textil creativo,Público general,Terraza,2 horas,,El taller está completo. ,"['ENCUENTROS', 'PROYECTO']",https://www.lacasaencendida.es/encuentros/taller-de-joyas-sostenibles-a-partir-de-residuo-textil,https://www.lacasaencendida.es/storage/12748/responsive-images/taller-de-joyas-sostenibles-a-partir-de-residuo-textil___detail_1207_1200.jpg
38,Vainilla,Guillaume Lorin y otras historias,6 may - 7 may 2023,Cinco cortometrajes sobre la aceptación de los propios orígenes y valorar la diversidad.,"Vainilla, de Guillaume Lorin. Francia, 2020. 30’
Vainilla, una niña parisina, llega a la Isla de Guadalupe para pasar las vacaciones con su tía. Al principio rechaza todo lo relacionado con la isla, pero poco a poco irá descubriendo sus misterios y se adentrará en una aventura exótica llena de personajes pintorescos y elementos mágicos.
Mi amigo Tigre, Tatiana Kiseleva. Rusia, 2021. 8’
Una niña y su amigo Tigre pasean en bicicleta por la ciudad. Están todo el día haciendo cosas juntos y compartiendo experiencias hasta que un día la ciudad se quedará demasiado pequeña para Tigre.
Cada día hablas mejor, de Julie Daravan Chea. Francia, 2020. 4’
Aline y su madre Chanda, provenientes de Camboya, viven juntas en un suburbio en Francia. Aline descubre que se está planificando una reunión de padres, pero no quiere que su madre vaya porque le da vergüenza que no hable bien francés.
Idodo, Ursula Ulmi. Suiza, 2021. 10’
Idodo explica la leyenda de cómo los peces de arrecife obtuvieron sus magníficos y deslumbrantes colores.
Curry azul, Magali Dunyach, Chien-Ju Hung. Francia, 2021. 6’",['#Audiovisuales'],En Familia. Primavera 2023,Infantil,Sala Audiovisual,,4€,"Las actividades de En Familia son para el público infantil, así que deben comprar entrada todos los asistentes sin importar la edad. No está permitida la entrada a mayores si no van acompañados de un menor.
Edad recomendada: a partir de 5 años.","['CINE', 'EN FAMILIA']",https://www.lacasaencendida.es/cine/vainilla-de-guillaume-lorin-y-otras-historias,https://www.lacasaencendida.es/storage/12587/responsive-images/vainilla-de-guillaume-lorin___detail_1600_866.jpg
39,"'Upcycle Yourself', performance participativa de Maroussia Rebecq",No definido,6 may 2023,"La performance estará dirigida por Maroussia Rebecq, siguiendo la metodología que utiliza en su colectivo Andrea Crews.","Junto con un equipo de estilistas, costura, maquillaje, peluquería, fotografía y video, transformaremos el Patio en un estudio de diseño donde el público asistente podrá vivir la experiencia de ser modelo de una transformación total a partir del reciclaje.
En pocos minutos, las personas que se acerquen al evento podrán pasar por las manos de este equipo de trabajo, bajo la dirección de Maroussia Rebecq, para vivir un cambio de look total a través del upcycling o reciclaje.
Toda la ropa que se usará en el evento proviene de Recumadrid, entidad de inserción socio laboral con la que colaboramos desde las primeras ediciones del Maratón.
 ",['#Diseño #Reciclaje #Sostenibilidad'],VII Maratón de reciclaje textil creativo,Público general,Patio,8 horas,,Asistencia libre.,"['ESCÉNICAS', 'PROYECTO']",https://www.lacasaencendida.es/escenicas/upcycle-yourself-performance-participativa-de-maroussia-rebecq,https://www.lacasaencendida.es/storage/12749/responsive-images/%27upcycle-yourself%27-performance-participativa-de-maroussia-rebecq___detail_1600_1067.jpg
40,Sòc vertical però m’agradaria ser horitzontal + Los conductos,No definido,5 may - 6 may 2023,"Doble sesión compuesta por el mediometraje de María Antón Cabot, en el que Sylvia Plath y Belén Esteban pasean juntas por Benidorm, y el primer largometraje de Camilo Restrepo, una alucinada crónica de su país, entre cine negro, punk, y psicodelia.","Sòc vertical però m’agradaria ser horitzontal, de María Antón Cabot. España, 2022. 39 min
Poca gente lo sabe, pero Sylvia Plath pasó muchas horas y escribió algunos poemas en el Benidorm de los años 50. Belén Esteban (esto quizá es más conocido) ha hecho de la ciudad más fascinante del levante español, su paraíso perdido. Sòc Vertical però m’agradaria ser horitzontal es un verso de Plath que no sólo da título a la película, sino que también funciona como el enigma que une a estas dos mujeres a través de los años. María Antón Cabot permite, en un ejercicio de libertad y poesía sin límites, que estas dos mujeres, separadas por el tiempo, se reúnan para compartir sus soledades, en el espacio de una misma e imposible noche.
Ser vertical, pero querer tumbarse, ser vertical y querer perderse, ser vertical e invisible, ser vertical e inmune a los dolores del mundo. Ésta podría ser la íntima letanía que repiten Sylvia y Belén en la común deriva que emprenden para alejarse de un mundo, que se niega a ver lo que realmente hay en ellas. Ser vertical y encontrar en la otra un espejo en el que desaparecer.
María Antón-Cabot es directora, editora y guionista nacida en Benidorm en 1982, se licenció en Comunicación Audiovisual y tiene un posgrado en creación en la Elias Querejeta Zine Eskola. En 2009 funda el colectivo lacasinegra junto a Elena López Riera, Gabriel Azorín y Carlos Pardo Ros con el que desarrolla diferentes proyectos que relacionan el cine con las formas contemporáneas de producción y difusión del audiovisual.",['#Audiovisuales'],Las favoritas de Elena López Riera,Público general,Sala Audiovisual,,4€,Coloquio posterior el día 6 de mayo con Elena López Riera y María Antón Cabot.,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/soc-vertical-pero-magradaria-ser-horitzontal-los-conductos,https://www.lacasaencendida.es/storage/13259/responsive-images/SocVertical_STILL_1___detail_1600_1029.jpg
41,"Less-than-human: Amanda Piña, Paz Rojo, Victoria Pérez Royo",No definido,5 may 2023,"Parte de los encuentros More-than-human, en esta sesión las artistas e investigadoras abordarán las prácticas en la performance sobre descentralización de la condición humana.","Los humanos convivimos en este planeta con una gran variedad de seres vivos e inertes o sin vida. El título de este encuentro pretende cuestionar la posible condición menor de la humanidad en este montaje. Si bien la serie propone considerar formas de vida y conocimiento fuera del estado humano clásico, nos preguntamos cómo sumar restando. Es decir, a través de ciertas renuncias en lugar de adquirir habilidades nuevas o adicionales. De ahí que propongamos less-than-human (lo inferior a lo humano).
Las tres invitadas al encuentro tienen una larga trayectoria en este sentido y mantienen inquietudes sobre este tema en sus proyectos actuales, que se pueden resumir en la propuesta general de descentralizar la condición humana clásica occidental hasta sus límites posibles. Amanda Piña trabaja en torno a la descolonización de la coreografía, introduciendo lo que ella llama Movimientos Humanos Amenazados en muchos niveles: el conocimiento oral, el chamanismo, los rituales diplomáticos o la sabiduría vegetal, entre otros. Paz Rojo trabaja sobre los restos de cuerpos extenuados tras lo que denomina el declive de la coreografía neoliberal, proponiendo operaciones concretas de resubjetivación a través del movimiento corporal. Victoria Pérez Royo investiga actualmente otras afectividades, centrando su mirada en lo que ella llama el cuerpo anacrónico, aquel movido por ritos como la magia, por ejemplo, o por cualquier modalidad ritual que contrarreste la corporalidad hegemónica moderno-colonial. Las tres invitadas dialogarán entre sí a través de un dispositivo de juego discursivo generado a partir de sus propias prácticas, entrelazadas y puestas en relación mutua.
Victoria Pérez Royo es investigadora en artes escénicas, profesora de la Facultad de Filosofía (Unizar) y ha impartido clases a nivel internacional. Miembro de la asociación de investigación ARTEA, ha ideado y coordinado contextos de investigación basados en la práctica en centros de arte como el Museo Reina Sofía, La Casa Encendida y Matadero (Madrid). Últimas publicaciones: Cuerpos fuera de sí (Documenta/Escénicas 2022) y editora de ""Time se ha dormido en el sol de la tarde"", un libro sobre lectura, escritura, memoria y olvido (con Mette Edvardsen, Mousse Press 2019), así como de ""Afectividades otras, magias, cuerpos"" (con Rut Martín, Accesos, 2021).",['#Pensamiento'],Not in a group,Público general,,1 hora 30 minutos,4€,El evento puede seguirse en vivo en el Auditorio y a través del canal de youtube de La Casa Encendida.,"['ENCUENTROS', 'ESCÉNICAS']",https://www.lacasaencendida.es/encuentros/less-than-human-amanda-pina-paz-rojo-victoria-perez-royo,https://www.lacasaencendida.es/storage/12764/responsive-images/less-than-human___detail_1600_1200.jpg
42,Entrevista a Maroussia Rebecq,No definido,5 may 2023,"Maroussia Rebecq lidera proyectos de innovación social a través de la moda, el arte y la cultura.","Su especialidad es el upcycling o reciclaje, a través del cual realiza diseños o performances transdisciplinares y colaborativas. Utiliza el entretenimiento para abordar la transformación y demuestra que los valores humanistas como la alegría o la libertad también son herramientas de atracción, colaboración y empoderamiento. Artista, emprendedora, y feminista comprometida es también mentora dentro del círculo de mujeres de la cultura y la creación Wise Women y docente en la escuela Casa 93. En 2002 crea la marca internacional pionera del upcycling ANDREA CREWS y, en 2022, el proyecto UPCYCLE SOLUTION cuya ambición es cambiar de escala e impulsar la revalorización de los excedentes industriales.
La entrevista estará conducida por Zaloa Basaldua, especialista en upcycling y sostenibilidad en moda que fue socia co-fundadora de Altrapo Lab.
En el marco del Maratón de Reciclaje Textil, Maroussia y su equipo realizarán el sábado 6 una performance en el Patio de La Casa Encendida.",['#Diseño #Reciclaje #Sostenibilidad'],VII Maratón de reciclaje textil creativo,Público general,Patio,1 hora 30 minutos,,Entrada libre hasta completar aforo.,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/entrevista-a-maroussia-rebecq,https://www.lacasaencendida.es/storage/12750/responsive-images/entrevista-a-maroussia-rebecq___detail_800_1200.jpg
43,Trenque Lauquen,Laura Citarella,19 may - 20 may 2023,"Trequen Lauquen arranca como una película policiaca y, poco a poco, se va convirtiendo en un romántico noir latino suspendido en el tiempo que nos arrastra como una caricia extraña.","Trenque Lauquen, de Laura Citarella. Argentina, 2022. 250 min.
Una mujer desaparece. Dos hombres salen en su busca: ambos la aman. ¿Por qué se fue? Cada uno de ellos tiene su propia sospecha y la oculta al otro que -misteriosamente- nunca llega a ser su rival.
Las posibles pistas a seguir para resolver el misterio se confunden con las huellas de un amor antiguo, con los rastros de la correspondencia amorosa de unos amantes del siglo pasado, incluso con el acecho de un ser mitológico que ronda esas tierras. Nada parece esclarecer el misterio que sobrevuela toda la película. Sin embargo, la revelación de los secretos, no parece ser tan importante como la deriva de los personajes en esa extraña ciudad de provincias argentina.
Laura Citarella se graduó en Dirección en la Universidad del Cine. Desde 2005 forma parte de la productora El Pampero Cine, junto con Mariano Llinás, Alejo Moguillansky y Agustín Mendilaharzu. Ha dirigido cuatro largometrajes, estrenados en festivales como Venecia o San Sebastián, y también ha destacado como productora de films como La flor, Historias extraordinarias y otros títulos de Mariano Llinás y Alejo Moguillansky.",['#Audiovisuales'],Las favoritas de Elena López Riera,Público general,Sala Audiovisual,,4€,Habrá una pausa de 20 minutos a mitad de proyección en la que ofreceremos un tentempié.,['CINE'],https://www.lacasaencendida.es/cine/trenque-lauquen-de-laura-citarella,https://www.lacasaencendida.es/storage/12584/responsive-images/trenque-lauquen-de-laura-citarella___detail_1600_900.jpg
44,Programa 3. Espacio conmigo (habitado),No definido,18 may 2023,¿Dónde estoy? La proyección del ser humano en el entorno que les rodea y cómo se relaciona con este. Tanto nos determina el espacio en el que vivimos como nosotros lo determinamos a él. ,"The Sunset Special, de Nicolas Gebe. Alemania, 2021. 17’
Una ubicación apartada en la playa, la pareja perfecta, el hotel más exclusivo: esta una vida de ensueño. Un viaje espeluznante al lujoso mundo de los sueños incumplidos, la nostalgia, el deseo a través de las fachadas pulidas de un mundo moldeado por la abundancia y las imágenes distorsionadoras de la realidad de las redes sociales.
Nicolas Gebbe nació en Londres en 1986. Actualmente vive y trabaja en Frankfurt am Main / Alemania como artista 3D, cineasta y diseñador de sonido. Se centra en la animación 3D experimental y los formatos cinematográficos híbridos. Sus cortometrajes de animación se han proyectado en diversos festivales, como el Festival de Cine de Locarno, le Festival du Nouveau Cinèma de Montréal y el Ann Arbor Film Festival.
Sobre la mesa las escaleras, de Magdalena Orellana. España, 2018. 5’
A través de una deriva virtual, la voz del GPS de Google Maps nos guía por las calles de Bilbao, especulando sobre arquitectura, matemáticas y el absurdo deseo de un arquitecto de contabilizar todos los escalones de esta ciudad.
Magdalena Orellana (Buenos Aires, 1990) es una cineasta y diseñadora que vive en Madrid. Se formó entre la facultad de Diseño de la Universidad de Buenos Aires, la ECAM y la Elías Querejeta Zine Eskola, donde rodó su último cortometraje, Todo esto es aún más intenso si a esa hora tardía se visita a un amigo para ver cómo le va, estrenado en Zinebi. Actualmente está desarrollando su primer largometraje de ficción, Hasta que el lugar se haga improbable.",['#Audiovisuales'],"LIT: Ah sh*t, here we go again…",Público general,Sala Audiovisual,2 horas,4€,No details,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/programa-3-espacio-conmigo-habitado,https://www.lacasaencendida.es/storage/12558/responsive-images/going-south-de-dominic-gagnon___detail_1600_1075.jpg
45,Día de la fascinación por las plantas,No definido,16 may 2023,"Celebramos el Día Internacional de la Fascinación por las Plantas con un encuentro que valora al reino vegetal no solo por ser imprescindible para la vida, sino también por sus cualidades como la inteligencia, su manera de comunicarse, la resiliencia ante situaciones difíciles, su movimiento imperceptible o su belleza.","Esta celebración es un lugar de encuentro para las personas que se sienten atraídas por las plantas de forma irresistible.
En la mesa redonda se sentarán dos divulgadores que otorgan con sus trabajos a las plantas todas las bondades y piropos que se merecen. 
Intervenciones:
Pasión por los nenúfares
Tomy Escribano, botánico autodidacta, coleccionista de nenúfares y viajero incasable por todo el mundo. Esta pasión por los nenúfares le ha hecho ganarse títulos como ‘el mago de los nenúfares’ o ‘el hombre que susurra a los nenúfares’ y no es para menos, ya que ha sido la primera persona capaz de cultivar nenúfares tropicales en Madrid y hacer florecer un nenúfar gigante llamado Victoria. En la actualidad colabora con multitud de jardines botánicos por todo el mundo y comparte toda su sabiduría y experiencia en las redes sociales de una forma tremendamente generosa.
¿Es fascinación u obsesión? Andanzas y aventuras del Mesías de las plantas
Carlos Magdalena, jardinero, horticultor, escritor, botánico y responsable de los invernaderos del vivero tropical del Real Jardín Botánico de Kew de Londres. Además, es uno de los mayores recuperadores de especies vegetales en peligro de extinción de todo el planeta. Toda esta experiencia y mucho más lo cuenta en su primer libro ‘El Mesías de las plantas. Aventuras en busca de las plantas más extraordinarias del mundo’, publicación que le ha dado a conocer en todo el mundo.",['#Jardinería y huerto'],Not in a group,Público general,Auditorio,2 horas,,Entrada libre hasta completar aforo.,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/dia-de-la-fascinacion-por-las-plantas,https://www.lacasaencendida.es/storage/13149/responsive-images/dia-de-la-fascinacion-por-las-plantas___detail_1471_1200.jpg
46,El Árbol del Flamenco,No definido,14 may 2023,"A través de la creación de esta obra de teatro musical, se apuesta por el flamenco como herramienta de transformación social y como lenguaje universal mediante el que se expresan emociones y sentimientos.","En la obra interactúan, de la mano de 26 niños/as y jóvenes, cante, baile, percusión y guitarra, todas las disciplinas flamencas de la Escuela de Arte de la Fundación Alalá, proyecto de integración en el polígono Sur de Sevilla, en las conocidas como 3.000 viviendas. Además, para la escenografía y attrezzo de la obra, la Fundación Alalá cuenta con la colaboración de su taller de artes plásticas y taller de costura ‘Coser y cantar’.
‘El árbol del flamenco’ parte de una idea original de Emilio Caracafé, profesor y alma máter de la Escuela de Arte, a partir de la cual el taller de teatro de la Fundación Alalá ha montado una dramaturgia que realiza un recorrido por la historia y los diversos palos y estilos del flamenco, en una obra que mezcla el carácter didáctico con un montaje musical. Además, invita a reflexionar sobre la ecología y la preservación del entorno atendiendo a uno de los principales objetivos de Fundación Alalá: la educación en valores de niños/as y jóvenes.
ALALÁ significa “alegría” en caló como referente a un sentimiento que impulsa el crecimiento personal y la autoestima, y que ayuda a que las personas brillen con luz propia. La Fundación Alalá tiene su origen en la Asociación Caracafé, promovida por el reconocido guitarrista del Polígono Sur de Sevilla Emilio ""Caracafé"", que reunía a niños/as del barrio en una pequeña peña ofreciéndoles clases gratuitas de guitarra. En el año 2015, mediante el apoyo de Fundación Konecta, se constituye en una Fundación que toma por nombre Alalá y ofrece clases de baile, percusión, guitarra, canto, teatro y artes plásticas a personas en riesgo de exclusión social, con especial énfasis en niños y niñas y jóvenes..",['#Música'],En Familia. Primavera 2023,Infantil,,1 hora 30 minutos,5€,"Ficha artística
Idea original y dirección musical: Emilio “Caracafé”
Dramaturgia y dirección: Antonia Gómez, Marió Payán, Rebeca Torres
Intérpretes teatro: Devine Onoguekhien, Dahiana Márquez Castaño, Ainara García Cembrano, Sindia Flores Amador, Gisela del Rocío Longal Jiménez, Tania Vela Gómez
Duenda: Aroa Barea
Maestras de teatro: Antonia Gómez, Rebeca Torres
Intérpretes cante: Alejandro Richarte, Juan Antonio Jiménez,  Francisco Martínez, Antonia Delgado, Rocío Sánchez, Claudia Conejo,  Cristina García
Maestra de cante: Laura Marchena
Intérpretes baile: Adela de la Cruz, Ana Richarte, Reyes Navarro, María Vargas
Maestra de baile: Aroa Barea
Intérpretes percusión: Antonio Borja Gabarri, Antonio Germán Gabarri, Ángel Flores Silva, Josué Martínez Hernández
Maestro de percusión: Miguel Ángel Magüesin “Dr. Keli”
Guitarra: Manuel Rubio
Maestro de guitarra: Emilio “Caracafé”
Música y arreglos: Miguel Ángel Magüesin Dr. Keli
Escenografía y videocreación: María Ortega Estepa y Pepe Yáñez
Proyecciones: Taller de Artes Plásticas Alalá. Maestra María Ortega Estepa
Árbol: Rubén Fernández
Vestuario: Taller Coser y Cantar de Alalá. Maestras: Rosa León y Marta Parejo
Ficha técnica
Dirección técnica y regiduría: Efrosina Tricio
Iluminación: David Cabañas
Sonido y proyección audiovisual: Pepe Mende
Producción ejecutiva: Blanca Parejo, Mercedes Frechilla, Ángela Fal-Conde y Pedro de la Cruz.
         ",['EN FAMILIA'],https://www.lacasaencendida.es/en-familia/el-arbol-del-flamenco,https://www.lacasaencendida.es/storage/12617/responsive-images/El-Arbol-del-flamenco___detail_1600_900.jpg
47,Bill y Janet y otras crónicas marcianas,No definido,13 may - 14 may 2023,Un programa sobre marcianos y naves espaciales que nos enseña a trabajar la tolerancia y la aceptación de la diversidad.,"Bill y Janet, Samantha Cutler, Daniel Snaddon. Reino Unido, 2022. 26’
En un planeta muy lejano viven dos familias, los Smeds y los Smoos. Generación tras generación han sido enfrentadas, no se hablan, nunca juegan juntas y a ninguna le gustan las costumbres de la otra. ¿Pero qué pasaría si una joven Smed y un joven Smoo se enamoraran?
La sopa de Franzy, de Ana Chubinidze. Francia, Georgia, 2021. 9’
Sola en su asteroide, Franzy lleva una vida feliz hasta que se queda sin su deliciosa sopa mágica, hecha con una receta secreta que sus padres le enseñaron.
El pequeño muñeco de nieve, de Aleksey Pochivalov. Rusia, 2021. 4’
¡Las zanahorias de una familia de muñecos de nieve están desapareciendo! ¿Qué harán sin nariz? ¿O quizás hay cosas más importantes como la amabilidad y la amistad?
La gran escapada, de Ray, de Jie Weng. China, 2018. 7’
Ray es un pequeño monstruo que vive en el borde de un volcán a punto de estallar. Un día, cansado de tantos terremotos, decide marcharse. Cargado con todas sus pertenencias se verá inmerso en una gran aventura en busca de un nuevo hogar.
Topitos y Manchitas ven las estrellas, Uzi Geffenblad, Lotta Geffenblad. Suecia, 2013. 7′",['#Audiovisuales'],En Familia. Primavera 2023,Infantil,Sala Audiovisual,,4€,"Las actividades de En Familia son para el público infantil, así que deben comprar entrada todos los asistentes sin importar la edad. No está permitida la entrada a mayores si no van acompañados de un menor.
Edad recomendada: A partir de 3 años.","['CINE', 'EN FAMILIA']",https://www.lacasaencendida.es/cine/bill-y-janet-y-otras-cronicas-marcianas,https://www.lacasaencendida.es/storage/12588/responsive-images/bill-y-janet___detail_1600_896.jpg
48,MMMAD 2023. Festival Urbano de Arte Digital,No definido,13 may 2023,"La Casa Encendida acoge la jornada ‘MMMAD Talks’. Participan la comisaria ucraniana Julia Kaganskiy, la comisaria del festival austríaco CIVA Martina Menegon, la investigadora taiwanesa Hsiang-Yun Huang, la comisaria de cripto-arte senegalesa Linda Dounia y la docente y diseñadora suiza Elodie Anglade. El encuentro culmina con una performance de la artista francesa Bora, creadora del universo visual de MMMAD 2023. ","Una jornada en la que el Patio de La Casa Encendida se convierte en un espacio de pensamiento, difusión y debate en torno al arte digital, reivindicando y visibilizando la necesidad de más espacios de encuentro alrededor de una práctica artística que aparentemente no exige un espacio físico. En esta jornada ponemos el foco en las profesionales mujeres que están cambiando el paradigma internacional a través de perspectivas críticas desde la raza y el género.
El festival cuenta desde 2022 con el apoyo de AC/E Acción Cultural Española a través del programa PICE Visitantes, gracias al cual se ha potenciado el impacto internacional del festival, creando más lazos entre artistas en Madrid y grandes profesionales mundiales en el campo del arte digital.
Programa:
12:30 h. Julia Kaganskiy. Artista emprendedora (Estados Unidos).
13 h. Martina Menegon. Comisaria (Italia).
16 h. Elodie Anglade. Docente y diseñadora (Suiza).
16:30 h. Emily Hsiang-Yun Huang. Investigadora (Taiwán).
17 h. Linda Dounia. Artista y comisaria (Senegal).
18:45 h. Bora (performance). Artista (Francia). ",['#Artes Visuales / Plásticas #Pensamiento'],Not in a group,Público general,Patio,7 horas 30 minutos,,Actividad en inglés sin traducción,"['ENCUENTROS', 'ESCÉNICAS']",https://www.lacasaencendida.es/encuentros/mmmad-2023-festival-urbano-de-arte-digital,https://www.lacasaencendida.es/storage/12676/responsive-images/mmmad-2023___detail_1600_900.jpg
49,La mala familia,Nacho A. Villar y Luis Rojo,12 may - 13 may 2023,"Una barbacoa, música, mucho alcohol, risas, rabia contenida y, también, un sinfín de caricias invisibles entre los miembros de esa familia elegida.","La mala familia, de Nacho A. Villar y Luis Rojo (colectivo Brbr). España, 2022. 81 min.
Es verano en Madrid y Andresito acaba de salir de permiso penitenciario. El pretexto perfecto para que su grupo de amigos, disperso y herido, tras el juicio que les cambió la vida, se reencuentren. Andresito, Nata, Sebas, Jamel, Chimaira, y el resto de chicos que componen esa familia elegida, huyen de esa ciudad monstruosa y extranjera que es Madrid por el espacio de un día. Con el pantano de San Juan como escenario onírico, los amigos se atreverán por fin a hacerse las confidencias atravesadas desde la condena que les une a todos.
El primer largometraje de Nacho A. Villar y Luis Rojo (colectivo Brbr) es una de las películas más brutalmente honestas y hermosas de los últimos tiempos. La película se revela como una crónica lacerante de los graves problemas sociales que atraviesan los miembros de esta particular tribu, cabalgando constantemente entre la verdad de sus vidas, y la verdad repetida de la pantalla.
La mala familia es un golpe en las entrañas. La prueba ineludible de que entre el cine y la vida no hay ninguna diferencia.
Nacho A. Villar y Luis Rojo conforman Brbr, un colectivo fílmico que reside en Madrid y Londres, nacido en 2014 en la escena del videoclip y la música urbana. Apuestan por nuevos formatos y por una visión cinematográfica y artística pionera en ese momento.
El colectivo Brbr y Olivier Arson presentan Aproximaciones, una sesión de escucha asentada en la banda sonora de La mala familia en el Torreón 1 los días 13 y 14 de mayo.",['#Audiovisuales'],Las favoritas de Elena López Riera,Público general,Sala Audiovisual,,4€,"El colectivo Brbr y Olivier Arson presentan Aproximaciones, una sesión de escucha asentada en la banda sonora de La mala familia. En el Torreón 1 los días 13 y 14 de mayo.
Coloquio posterior el día 12 con Elena López Riera y Brbr.","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/la-mala-familia-de-nacho-a-villar-y-luis-rojo,https://www.lacasaencendida.es/storage/12583/responsive-images/la-mala-familia-de-nacho-a-villar-luis-rojo___detail_1600_897.jpg
